
 Iteration: <built-in function iter>

#       xi       y_num       y_analytic
     0.000     6.000     6.000
     0.053     5.644     5.633
     0.105     5.295     5.272
     0.158     4.959     4.926
     0.211     4.643     4.601
     0.263     4.353     4.304
     0.316     4.097     4.041
     0.368     3.881     3.821
     0.421     3.712     3.650
     0.474     3.598     3.534
     0.526     3.545     3.482
     0.579     3.560     3.500
     0.632     3.650     3.594
     0.684     3.823     3.773
     0.737     4.086     4.043
     0.789     4.446     4.410
     0.842     4.910     4.883
     0.895     5.486     5.467
     0.947     6.180     6.171
     1.000     7.000     7.000
