# ITB Physics Dept. / Python Programming Basics / Syeilendra
# Generate 2D plot from xyz data file
#      i       j           x           y     z=f(x,y)
       1       1      -8.000      -5.000      -0.245
       1       2      -8.000      -4.800      -0.441
       1       3      -8.000      -4.600      -0.602
       1       4      -8.000      -4.400      -0.707
       1       5      -8.000      -4.200      -0.744
       1       6      -8.000      -4.000      -0.710
       1       7      -8.000      -3.800      -0.617
       1       8      -8.000      -3.600      -0.482
       1       9      -8.000      -3.400      -0.335
       1      10      -8.000      -3.200      -0.203
       1      11      -8.000      -3.000      -0.114
       1      12      -8.000      -2.800      -0.088
       1      13      -8.000      -2.600      -0.133
       1      14      -8.000      -2.400      -0.244
       1      15      -8.000      -2.200      -0.403
       1      16      -8.000      -2.000      -0.579
       1      17      -8.000      -1.800      -0.734
       1      18      -8.000      -1.600      -0.828
       1      19      -8.000      -1.400      -0.827
       1      20      -8.000      -1.200      -0.706
       1      21      -8.000      -1.000      -0.454
       1      22      -8.000      -0.800      -0.083
       1      23      -8.000      -0.600       0.381
       1      24      -8.000      -0.400       0.893
       1      25      -8.000      -0.200       1.395
       1      26      -8.000       0.000       1.828
       1      27      -8.000       0.200       2.132
       1      28      -8.000       0.400       2.261
       1      29      -8.000       0.600       2.186
       1      30      -8.000       0.800       1.901
       1      31      -8.000       1.000       1.425
       1      32      -8.000       1.200       0.802
       1      33      -8.000       1.400       0.093
       1      34      -8.000       1.600      -0.627
       1      35      -8.000       1.800      -1.280
       1      36      -8.000       2.000      -1.794
       1      37      -8.000       2.200      -2.114
       1      38      -8.000       2.400      -2.208
       1      39      -8.000       2.600      -2.068
       1      40      -8.000       2.800      -1.719
       1      41      -8.000       3.000      -1.208
       1      42      -8.000       3.200      -0.604
       1      43      -8.000       3.400       0.015
       1      44      -8.000       3.600       0.567
       1      45      -8.000       3.800       0.984
       1      46      -8.000       4.000       1.212
       1      47      -8.000       4.200       1.227
       1      48      -8.000       4.400       1.030
       1      49      -8.000       4.600       0.654
       1      50      -8.000       4.800       0.155
       1      51      -8.000       5.000      -0.395
       2       1      -7.800      -5.000      -0.009
       2       2      -7.800      -4.800      -0.193
       2       3      -7.800      -4.600      -0.360
       2       4      -7.800      -4.400      -0.486
       2       5      -7.800      -4.200      -0.554
       2       6      -7.800      -4.000      -0.556
       2       7      -7.800      -3.800      -0.498
       2       8      -7.800      -3.600      -0.395
       2       9      -7.800      -3.400      -0.272
       2      10      -7.800      -3.200      -0.156
       2      11      -7.800      -3.000      -0.075
       2      12      -7.800      -2.800      -0.050
       2      13      -7.800      -2.600      -0.093
       2      14      -7.800      -2.400      -0.201
       2      15      -7.800      -2.200      -0.358
       2      16      -7.800      -2.000      -0.537
       2      17      -7.800      -1.800      -0.703
       2      18      -7.800      -1.600      -0.815
       2      19      -7.800      -1.400      -0.838
       2      20      -7.800      -1.200      -0.746
       2      21      -7.800      -1.000      -0.527
       2      22      -7.800      -0.800      -0.188
       2      23      -7.800      -0.600       0.248
       2      24      -7.800      -0.400       0.737
       2      25      -7.800      -0.200       1.226
       2      26      -7.800       0.000       1.656
       2      27      -7.800       0.200       1.967
       2      28      -7.800       0.400       2.114
       2      29      -7.800       0.600       2.063
       2      30      -7.800       0.800       1.808
       2      31      -7.800       1.000       1.364
       2      32      -7.800       1.200       0.771
       2      33      -7.800       1.400       0.088
       2      34      -7.800       1.600      -0.612
       2      35      -7.800       1.800      -1.252
       2      36      -7.800       2.000      -1.760
       2      37      -7.800       2.200      -2.080
       2      38      -7.800       2.400      -2.176
       2      39      -7.800       2.600      -2.040
       2      40      -7.800       2.800      -1.691
       2      41      -7.800       3.000      -1.175
       2      42      -7.800       3.200      -0.559
       2      43      -7.800       3.400       0.080
       2      44      -7.800       3.600       0.661
       2      45      -7.800       3.800       1.112
       2      46      -7.800       4.000       1.378
       2      47      -7.800       4.200       1.429
       2      48      -7.800       4.400       1.262
       2      49      -7.800       4.600       0.904
       2      50      -7.800       4.800       0.407
       2      51      -7.800       5.000      -0.159
       3       1      -7.600      -5.000       0.232
       3       2      -7.600      -4.800       0.067
       3       3      -7.600      -4.600      -0.098
       3       4      -7.600      -4.400      -0.238
       3       5      -7.600      -4.200      -0.330
       3       6      -7.600      -4.000      -0.363
       3       7      -7.600      -3.800      -0.338
       3       8      -7.600      -3.600      -0.267
       3       9      -7.600      -3.400      -0.170
       3      10      -7.600      -3.200      -0.076
       3      11      -7.600      -3.000      -0.010
       3      12      -7.600      -2.800       0.006
       3      13      -7.600      -2.600      -0.041
       3      14      -7.600      -2.400      -0.151
       3      15      -7.600      -2.200      -0.311
       3      16      -7.600      -2.000      -0.495
       3      17      -7.600      -1.800      -0.671
       3      18      -7.600      -1.600      -0.801
       3      19      -7.600      -1.400      -0.848
       3      20      -7.600      -1.200      -0.787
       3      21      -7.600      -1.000      -0.603
       3      22      -7.600      -0.800      -0.300
       3      23      -7.600      -0.600       0.099
       3      24      -7.600      -0.400       0.558
       3      25      -7.600      -0.200       1.023
       3      26      -7.600       0.000       1.440
       3      27      -7.600       0.200       1.750
       3      28      -7.600       0.400       1.907
       3      29      -7.600       0.600       1.879
       3      30      -7.600       0.800       1.656
       3      31      -7.600       1.000       1.251
       3      32      -7.600       1.200       0.700
       3      33      -7.600       1.400       0.059
       3      34      -7.600       1.600      -0.602
       3      35      -7.600       1.800      -1.210
       3      36      -7.600       2.000      -1.694
       3      37      -7.600       2.200      -1.998
       3      38      -7.600       2.400      -2.087
       3      39      -7.600       2.600      -1.949
       3      40      -7.600       2.800      -1.602
       3      41      -7.600       3.000      -1.089
       3      42      -7.600       3.200      -0.471
       3      43      -7.600       3.400       0.174
       3      44      -7.600       3.600       0.769
       3      45      -7.600       3.800       1.240
       3      46      -7.600       4.000       1.533
       3      47      -7.600       4.200       1.614
       3      48      -7.600       4.400       1.475
       3      49      -7.600       4.600       1.140
       3      50      -7.600       4.800       0.655
       3      51      -7.600       5.000       0.085
       4       1      -7.400      -5.000       0.468
       4       2      -7.400      -4.800       0.327
       4       3      -7.400      -4.600       0.169
       4       4      -7.400      -4.400       0.024
       4       5      -7.400      -4.200      -0.085
       4       6      -7.400      -4.000      -0.144
       4       7      -7.400      -3.800      -0.149
       4       8      -7.400      -3.600      -0.110
       4       9      -7.400      -3.400      -0.044
       4      10      -7.400      -3.200       0.025
       4      11      -7.400      -3.000       0.070
       4      12      -7.400      -2.800       0.071
