
 Iteration: 1001

#       xi       y_num       y_analytic
     0.000     0.000     0.000
     0.051     2.263    25.000
     0.103     4.389    25.000
     0.154     6.381    25.000
     0.205     8.242    25.000
     0.256     9.974    25.000
     0.308    11.581    25.000
     0.359    13.063    25.000
     0.410    14.424    25.000
     0.462    15.665    25.000
     0.513    16.788    25.000
     0.564    17.794    25.000
     0.615    18.684    25.000
     0.667    19.461    25.000
     0.718    20.125    25.000
     0.769    20.677    25.000
     0.821    21.117    25.000
     0.872    21.447    25.000
     0.923    21.666    25.000
     0.974    21.776    25.000
     1.026    21.776    25.000
     1.077    21.666    25.000
     1.128    21.446    25.000
     1.179    21.116    25.000
     1.231    20.676    25.000
     1.282    20.124    25.000
     1.333    19.460    25.000
     1.385    18.683    25.000
     1.436    17.792    25.000
     1.487    16.786    25.000
     1.538    15.664    25.000
     1.590    14.423    25.000
     1.641    13.062    25.000
     1.692    11.579    25.000
     1.744     9.973    25.000
     1.795     8.241    25.000
     1.846     6.380    25.000
     1.897     4.388    25.000
     1.949     2.262    25.000
     2.000     0.000     0.000
